Номенклатура;Артикул;Наименование;НаименованиеПолное;БазоваяЕдиницаИзмерения;ВидНоменклатуры;ДополнительноеОписание;Актуальность;АктуальностьЦифра;Изображение;ИзображениеОборота;Количество;Формат;Дата первого прихода;Поставщик;Код цены;Отделка;Наличие текста;Количество в упаковке;Лицензия;Розничная цена;Оптовая цена;Родитель1;Родитель2;Родитель3;Родитель4;Родитель5
fc606ca3-a5f0-11df-b3d7-001d60809b24;45,409,01;С днем рождения  (Дисней);С днем рождения  (Дисней);шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860030645409.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860030645409.back.jpg;7;стойка;03.08.2010;Империя поздравлений ООО;570;термография;есть;10;Standard Characters;57;27,9;С днем рождения;Детские и молодежные;Открытки;;
fc606ca7-a5f0-11df-b3d7-001d60809b24;45,411,01;С днем рождения  (Дисней);С днем рождения  (Дисней);шт;Открытки;;больше месяца;4;;;22;макси 'Матрешка';03.08.2010;Империя поздравлений ООО;587;термография;есть;1;Standard Characters;285;140,3;С днем рождения;Детские и молодежные;Открытки;;
fc606ca9-a5f0-11df-b3d7-001d60809b24;45,412,01;С днем рождения  (Дисней);С днем рождения  (Дисней);шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860032045412.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860032045412.back.jpg;28;супергигант;03.08.2010;Империя поздравлений ООО;584;термография;есть;1;Standard Characters;198;97,3;С днем рождения;Детские и молодежные;Открытки;;
fc606cab-a5f0-11df-b3d7-001d60809b24;45,413,01;С днем рождения  (Дисней);С днем рождения  (Дисней);шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860032045413.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860032045413.back.jpg;18;супергигант;03.08.2010;Империя поздравлений ООО;584;термография;есть;1;Standard Characters;198;97,3;С днем рождения;Детские и молодежные;Открытки;;
fc606cad-a5f0-11df-b3d7-001d60809b24;45,414,00;Ростомер (Дисней);Ростомер (Дисней);шт;Плакаты;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860034445414.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860034445414.back.jpg;36;ростомер;03.08.2010;Империя поздравлений ООО;591;без отделки;подсказ;10;Standard Characters;58;28,5;Ростомеры;Школа и детский сад;Открытки;;
fc606caf-a5f0-11df-b3d7-001d60809b24;45,416,00;Ростомер (Дисней);Ростомер (Дисней);шт;Плакаты;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860034445416.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860034445416.back.jpg;35;ростомер;03.08.2010;Империя поздравлений ООО;591;без отделки;подсказ;10;Standard Characters;58;28,5;Ростомеры;Школа и детский сад;Открытки;;
fc606cb3-a5f0-11df-b3d7-001d60809b24;45,445,01;С днем рождения (Дисней);С днем рождения (Дисней);шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860028345445.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860028345445.back.jpg;11;средний;03.08.2010;Империя поздравлений ООО;540;термография, конгрев;есть;10;Mickey Mouse Club House;27;13,2;С днем рождения;Детские и молодежные;Открытки;;
fc606cb7-a5f0-11df-b3d7-001d60809b24;45,458,01;С днем рождения (Дисней);С днем рождения (Дисней);шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860029045458.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860029045458.back.jpg;10;средний;03.08.2010;Империя поздравлений ООО;545;без отделки;есть;10;Standard Characters;40;19,9;С днем рождения;Детские и молодежные;Открытки;;
fc606cb9-a5f0-11df-b3d7-001d60809b24;45,459,01;С днем рождения (Дисней);С днем рождения (Дисней);шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860029045459.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860029045459.back.jpg;6;средний;03.08.2010;Империя поздравлений ООО;545;без отделки;есть;10;Standard Characters;40;19,9;С днем рождения;Детские и молодежные;Открытки;;
fc606cbd-a5f0-11df-b3d7-001d60809b24;45,461,01;С днем рождения (Дисней);С днем рождения (Дисней);шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860029045461.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860029045461.back.jpg;11;средний;03.08.2010;Империя поздравлений ООО;545;без отделки;есть;10;Standard Characters;40;19,9;С днем рождения;Детские и молодежные;Открытки;;
fc606cc1-a5f0-11df-b3d7-001d60809b24;45,466,01;С днем рождения (Дисней);С днем рождения (Дисней);шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860029045466.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860029045466.back.jpg;18;средний;03.08.2010;Империя поздравлений ООО;545;без отделки;есть;10;Disney's Winnie The Pooh/Винни Пух;40;19,9;С днем рождения;Детские и молодежные;Открытки;;
fc606cc3-a5f0-11df-b3d7-001d60809b24;45,467,01;С днем рождения (Дисней);С днем рождения (Дисней);шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860029045467.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860029045467.back.jpg;7;средний;03.08.2010;Империя поздравлений ООО;545;без отделки;есть;10;Disney's Winnie The Pooh/Винни Пух;40;19,9;С днем рождения;Детские и молодежные;Открытки;;
fc606cc5-a5f0-11df-b3d7-001d60809b24;45,478,01;В день рождения  (Дисней);В день рождения  (Дисней);шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860028345478.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860028345478.back.jpg;5;средний;03.08.2010;Империя поздравлений ООО;540;термография, конгрев;есть;10;Чародейки;27;13,2;С днем рождения;Детские и молодежные;Открытки;;
fc606ccb-a5f0-11df-b3d7-001d60809b24;45,501,01;С днем рождения(Дисней);С днем рождения(Дисней);шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860029045501.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860029045501.back.jpg;14;средний;03.08.2010;Империя поздравлений ООО;545;без отделки;есть;10;Standard Characters;40;19,9;С днем рождения;Детские и молодежные;Открытки;;
fc606cd1-a5f0-11df-b3d7-001d60809b24;45,523,01;С днем рождения(Дисней);С днем рождения(Дисней);шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860032045523.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860032045523.back.jpg;12;Качель;03.08.2010;Империя поздравлений ООО;584;термография;есть;1;Standard Characters;198;97,3;С днем рождения;Детские и молодежные;Открытки;;
fc606cdf-a5f0-11df-b3d7-001d60809b24;45,555,00;Ростомер (алфавит английский )(Дисней);Ростомер (алфавит английский )(Дисней);шт;Плакаты;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860034445555.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860034445555.back.jpg;15;ростомер;03.08.2010;Империя поздравлений ООО;591;без отделки;подсказ;10;Standard Characters;58;28,5;Ростомеры;Школа и детский сад;Открытки;;
fc606ce1-a5f0-11df-b3d7-001d60809b24;45,561,01;С днем рождения (Дисней);С днем рождения (Дисней);шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860033745561.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860033745561.back.jpg;10;макси 'Матрешка';03.08.2010;Империя поздравлений ООО;587;термография;есть;1;Disney's Winnie The Pooh/Винни Пух;285;140,3;С днем рождения;Детские и молодежные;Открытки;;
fc606ce5-a5f0-11df-b3d7-001d60809b24;45,569,00;Набор для проведения весёлого дня рождения (Дисней;Набор для проведения весёлого дня рождения (Дисней;шт;Товары для праздника;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860059745569.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860059745569.back.jpg;8;набор/комплект;03.08.2010;Империя поздравлений ООО;599;без отделки;есть;1;Standard Characters;270;133;Наборы плакаты короны;Детские и молодежные;Открытки;;
fc606cf3-a5f0-11df-b3d7-001d60809b24;45,602,00;Тебе с днём рождения (Дисней);Тебе с днём рождения (Дисней);шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860031345602.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860031345602.back.jpg;8;максиформат;03.08.2010;Империя поздравлений ООО;581;термография, конгрев;есть;10;Standard Characters;177;87,3;С днем рождения;Детские и молодежные;Открытки;;
fc606cf9-a5f0-11df-b3d7-001d60809b24;45,630,00;Подарок первокласснику(Дисней);Подарок первокласснику(Дисней);шт;Развивайка;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860031345630.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860031345630.back.jpg;27;гигант с конвертом для денег;03.08.2010;Империя поздравлений ООО;581;блестки;есть;1;Standard Characters;177;87,3;Папки дипломы портфолио портфели;Выпускнику 2012;Школа и детский сад;Открытки;
fc606cfb-a5f0-11df-b3d7-001d60809b24;45,631,00;Подарок первокласснице(Дисней);Подарок первокласснице(Дисней);шт;Развивайка;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860031345631.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860031345631.back.jpg;8;гигант с конвертом для денег;03.08.2010;Империя поздравлений ООО;581;блестки;есть;1;Princess/Принцессы;177;87,3;Папки дипломы портфолио портфели;Выпускнику 2012;Школа и детский сад;Открытки;
fc606cfd-a5f0-11df-b3d7-001d60809b24;45,647,00;Подарок для нашей принцессы!;Подарок для нашей принцессы!;шт;Развивайка;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860031345647.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860031345647.back.jpg;4;набор/комплект;03.08.2010;Империя поздравлений ООО;581;без отделки;есть;1;Ariel (princess collection);177;87,3;Наборы плакаты короны;Детские и молодежные;Открытки;;
fc606d01-a5f0-11df-b3d7-001d60809b24;45,649,00;С Днем рождения!;С Днем рождения!;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860029045649.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860029045649.back.jpg;9;средний;03.08.2010;Империя поздравлений ООО;545;без отделки;есть;10;Belle (princess collection);40;19,9;С днем рождения;Детские и молодежные;Открытки;;
fc606d19-a5f0-11df-b3d7-001d60809b24;45,661,00;С Днем рождения!;С Днем рождения!;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860029045661.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860029045661.back.jpg;4;средний;03.08.2010;Империя поздравлений ООО;545;без отделки;есть;10;Cinderella (princess collection);40;19,9;С днем рождения;Детские и молодежные;Открытки;;
fc606d29-a5f0-11df-b3d7-001d60809b24;45,671,00;С Днем рождения! Disney;С Днем рождения! Disney;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860028345671.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860028345671.back.jpg;6;средний;03.08.2010;Империя поздравлений ООО;540;термография, конгрев;есть;10;Sleeping Beauty (princess collection);27;13,2;С днем рождения;Детские и молодежные;Открытки;;
fc606d33-a5f0-11df-b3d7-001d60809b24;45,676,00;С Днем рождения! Disney;С Днем рождения! Disney;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860028345676.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860028345676.back.jpg;14;средний;03.08.2010;Империя поздравлений ООО;540;термография, конгрев;есть;10;Jasmine (princess collection);27;13,2;С днем рождения;Детские и молодежные;Открытки;;
fc606d35-a5f0-11df-b3d7-001d60809b24;45,677,00;С Днем рождения! (Disney);С Днем рождения! (Disney);шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860028345677.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860028345677.back.jpg;10;средний;03.08.2010;Империя поздравлений ООО;540;термография;есть;10;Fairies/Феи;27;13,2;С днем рождения;Детские и молодежные;Открытки;;
fc606d37-a5f0-11df-b3d7-001d60809b24;45,678,00;С Днем рождения! (Disney);С Днем рождения! (Disney);шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860028345678.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860028345678.back.jpg;12;средний;03.08.2010;Империя поздравлений ООО;540;термография;есть;10;Fairies/Феи;27;13,2;С днем рождения;Детские и молодежные;Открытки;;
fc606d39-a5f0-11df-b3d7-001d60809b24;45,679,00;С Днем рождения! (Disney);С Днем рождения! (Disney);шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860028345679.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860028345679.back.jpg;21;средний;03.08.2010;Империя поздравлений ООО;540;термография;есть;10;Fairies/Феи;27;13,2;С днем рождения;Детские и молодежные;Открытки;;
fc606d3b-a5f0-11df-b3d7-001d60809b24;45,680,00;С Днем рождения! (Disney);С Днем рождения! (Disney);шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860028345680.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860028345680.back.jpg;4;средний;03.08.2010;Империя поздравлений ООО;540;термография;есть;10;Fairies/Феи;27;13,2;С днем рождения;Детские и молодежные;Открытки;;
fc606d3d-a5f0-11df-b3d7-001d60809b24;45,681,00;С Днем рождения! (Disney);С Днем рождения! (Disney);шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860028345681.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860028345681.back.jpg;4;средний;03.08.2010;Империя поздравлений ООО;540;термография;есть;10;Standard Characters;27;13,2;С днем рождения;Детские и молодежные;Открытки;;
fc606d3f-a5f0-11df-b3d7-001d60809b24;45,682,00;С Днем рождения! (Disney);С Днем рождения! (Disney);шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860028345682.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860028345682.back.jpg;12;средний;03.08.2010;Империя поздравлений ООО;540;термография;есть;10;Standard Characters;27;13,2;С днем рождения;Детские и молодежные;Открытки;;
032092e1-a5f1-11df-b3d7-001d60809b24;50,495;Маме;Маме;шт;Открытки;;больше месяца;4;;;4;гигант;03.08.2010;Империя поздравлений ООО;770;термография, конгрев;есть;10;;48;23,6;Родным и близким;Адресные;Открытки;;
03209307-a5f1-11df-b3d7-001d60809b24;51,210,01;Дорогой подруге;Дорогой подруге;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860042951210.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860042951210.back.jpg;6;еврогигант;03.08.2010;Империя поздравлений ООО;673;фольга, конгрев, калька;есть;1;;149;73,2;Прочие адресные открытки;Адресные;Открытки;;
0320930f-a5f1-11df-b3d7-001d60809b24;51,246,07;Лучшей девочке;Лучшей девочке;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860009251246.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860009251246.back.jpg;8;средний;03.08.2010;Империя поздравлений ООО;475;термография;есть;10;;25;11,6;Детские;Детские и молодежные;Открытки;;
03209317-a5f1-11df-b3d7-001d60809b24;55,066,00;Неповторимой;Неповторимой;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860041255066.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860041255066.back.jpg;24;еврогигант;03.08.2010;Империя поздравлений ООО;670;фольга, конгрев, калька;есть;10;;135;66,5;Любовные;С любовью;Открытки;;
03209319-a5f1-11df-b3d7-001d60809b24;55,067,00;Самому дорогому человеку;Самому дорогому человеку;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860042955067.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860042955067.back.jpg;14;еврогигант;03.08.2010;Империя поздравлений ООО;673;фольга, конгрев, калька;есть;10;;149;73,2;Любовные;С любовью;Открытки;;
0320931b-a5f1-11df-b3d7-001d60809b24;55,076,00;набор 10 видов по 1 шт.;набор 10 видов по 1 шт.;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860003055076.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860003055076.back.jpg;7;набор/комплект;03.08.2010;Империя поздравлений ООО;065;фольга;есть;10;;5;2,3;Костеры медали бонбоньерки салфетки;Свадьба;;;
0320931d-a5f1-11df-b3d7-001d60809b24;55,082,00;набор для празднования дня рождения (путешествие п;набор для празднования дня рождения (путешествие п;шт;Товары для праздника;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860043655082.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860043655082.back.jpg;7;набор/комплект;03.08.2010;Империя поздравлений ООО;988;без отделки;есть;1;;296;146;Наборы плакаты короны;Детские и молодежные;Открытки;;
03209321-a5f1-11df-b3d7-001d60809b24;55,126,00;С любовью;С любовью;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860042955126.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860042955126.back.jpg;14;еврогигант;03.08.2010;Империя поздравлений ООО;673;фольга, конгрев, калька;есть;1;;149;73,2;Любовные;С любовью;Открытки;;
03209323-a5f1-11df-b3d7-001d60809b24;55,127,00;Моему сокровищу;Моему сокровищу;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860042955127.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860042955127.back.jpg;5;еврогигант;03.08.2010;Империя поздравлений ООО;673;фольга, конгрев, калька;есть;1;;149;73,2;Любовные;С любовью;Открытки;;
0320932f-a5f1-11df-b3d7-001d60809b24;55,151,00;Ты super star;Ты super star;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860009255151.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860009255151.back.jpg;17;средний;03.08.2010;Империя поздравлений ООО;475;блестки, конгрев;есть;10;;25;11,6;Молодежные;Детские и молодежные;Открытки;;
03209333-a5f1-11df-b3d7-001d60809b24;55,153,00;Ты cool;Ты cool;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860009255153.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860009255153.back.jpg;8;средний;03.08.2010;Империя поздравлений ООО;475;блестки, конгрев;есть;10;;25;11,6;Молодежные;Детские и молодежные;Открытки;;
03209335-a5f1-11df-b3d7-001d60809b24;55,154,00;Ты sexy;Ты sexy;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860009255154.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860009255154.back.jpg;15;средний;03.08.2010;Империя поздравлений ООО;475;блестки, конгрев;есть;10;;25;11,6;Молодежные;Детские и молодежные;Открытки;;
03209337-a5f1-11df-b3d7-001d60809b24;55,155,00;Ты the best;Ты the best;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860009255155.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860009255155.back.jpg;4;средний;03.08.2010;Империя поздравлений ООО;475;блестки, конгрев;есть;10;;25;11,6;Молодежные;Детские и молодежные;Открытки;;
0320933b-a5f1-11df-b3d7-001d60809b24;55,157,00;Ты cool;Ты cool;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860009255157.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860009255157.back.jpg;6;средний;03.08.2010;Империя поздравлений ООО;475;блестки, конгрев;есть;10;;25;11,6;Молодежные;Детские и молодежные;Открытки;;
0320933d-a5f1-11df-b3d7-001d60809b24;60,080,00;С нежностью;С нежностью;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860042960080.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860042960080.back.jpg;24;еврогигант;03.08.2010;Империя поздравлений ООО;673;фольга, конгрев, калька;есть;10;;149;73,2;Любовные;С любовью;Открытки;;
0320933f-a5f1-11df-b3d7-001d60809b24;60,082,00;Ты мое сердце;Ты мое сердце;шт;Открытки;;больше месяца;4;;;21;еврогигант;03.08.2010;Империя поздравлений ООО;673;фольга, конгрев, калька;есть;10;;149;73,2;Любовные;С любовью;Открытки;;
03209345-a5f1-11df-b3d7-001d60809b24;60,190,00;Это о нас;Это о нас;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860014660190.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860014660190.back.jpg;11;макси 'Матрешка';03.08.2010;Империя поздравлений ООО;880;термография;есть;1;;248;122;Сердца валентинки;С любовью;Открытки;;
f5698723-a5f0-11df-b3d7-001d60809b24;30,700,00;С юбилеем!;С юбилеем!;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860042930700.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860042930700.back.jpg;12;еврогигант;03.08.2010;Империя поздравлений ООО;673;фольга, конгрев, выборочный лак;есть;1;;149;73,2;Юбилей;Поздравительные;Открытки;;
f5698721-a5f0-11df-b3d7-001d60809b24;30,699,50;С юбилеем! 50;С юбилеем! 50;шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860042930699.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860042930699.back.jpg;14;еврогигант;03.08.2010;Империя поздравлений ООО;673;фольга, конгрев, выборочный лак;есть;1;;149;73,2;Юбилей;Поздравительные;Открытки;;
